,D1,D2,D3
T1180,30,30,30
T1181,30,30,30
T1182,30,30,30
T1183,30,30,30
T1184,30,30,30
T1185,30,30,30
T1186,30,30,30
T1187,30,30,30
T1188,30,30,30
T1189,30,30,30
T1190,30,30,30
T1191,30,30,30
T1192,30,30,30
T1193,30,30,30
T1194,30,30,30
T1195,30,30,30
T1196,30,30,30
T1197,30,30,30
T1198,30,30,30
T1199,30,30,30
T1200,30,30,30
T1201,30,30,30
T1202,30,30,30
T1203,30,30,30
T1204,30,30,30
T1205,30,30,30
T1206,30,30,30
T1207,30,30,30
T1208,30,30,30
T1209,30,30,30
T1210,30,30,30
T1211,30,30,30
T1212,30,30,30
T1213,30,30,30
T1214,30,30,30
T1215,30,30,30
T1216,30,30,30
T1217,30,30,30
T1218,30,30,30
T1219,30,30,30
T1220,30,30,30
T1221,30,30,30
T1222,30,30,30
T1223,30,30,30
T1224,30,30,30
T1225,30,30,30
T1226,30,30,30
T1227,30,30,30
T1228,30,30,30
T1229,30,30,30
T1230,30,30,30
T1231,30,30,30
T1232,30,30,30
T1233,30,30,30
T1234,30,30,30
T1235,30,30,30
T1236,30,30,30
T1237,30,30,30
T1238,30,30,30
T1239,30,30,30
T1240,30,30,30
T1241,30,30,30
T1242,30,30,30
T1243,30,30,30
T1244,30,30,30
T1245,30,30,30
T1246,30,30,30
T1247,30,30,30
T1248,30,30,30
T1249,30,30,30
T1250,30,30,30
T1251,30,30,30
T1252,30,30,30
T1253,30,30,30
T1254,30,30,30
T1255,30,30,30
T1256,30,30,30
T1257,30,30,30
T1258,30,30,30
T1259,30,30,30
T1260,30,30,30
T1261,30,30,30
T1262,30,30,30
T1263,30,30,30
T1264,30,30,30
T1265,30,30,30
T1266,30,30,30
T1267,30,30,30
T1268,30,30,30
T1269,30,30,30
T1270,30,30,30
T1271,30,30,30
T1272,30,30,30
T1273,30,30,30
T1274,30,30,30
T1275,30,30,30
T1276,30,30,30
T1277,30,30,30
T1278,30,30,30
T1279,30,30,30
T1280,30,30,30
T1281,30,30,30
T1282,30,30,30
T1283,30,30,30
T1284,30,30,30
T1285,30,30,30
T1286,30,30,30
T1287,30,30,30
T1288,30,30,30
T1289,30,30,30
T1290,30,30,30
T1291,30,30,30
T1292,30,30,30
T1293,30,30,30
T1294,30,30,30
T1295,30,30,30
T1296,30,30,30
T1297,30,30,30
T1298,30,30,30
T1299,30,30,30
T1300,30,30,30
T1301,30,30,30
T1302,30,30,30
T1303,30,30,30
T1304,30,30,30
T1305,30,30,30
T1306,30,30,30
T1307,30,30,30
T1308,30,30,30
T1309,30,30,30
