,D1,D2,D3
T6743,3.42082813749355,4.10494718171415,5.58404024195735
T6744,3.42064130677565,4.10470606607804,5.58362963122304
T6745,3.42045444118223,4.10446490742158,5.58321895938055
T6746,3.42026754082665,4.10422370589217,5.58280822668685
T6747,3.42008060582238,4.10398246163733,5.58239743339905
T6748,3.41989363628272,4.10374117480435,5.58198657977391
T6749,3.41970663232114,4.10349984554075,5.58157566606848
T6750,3.41951959405079,4.10325847399362,5.58116469253909
T6751,3.41933252158515,4.10301706031049,5.58075365944276
T6752,3.41914541503756,4.10277560463865,5.58034256703613
T6753,3.41895827452116,4.1025341071252,5.57993141557541
T6754,3.41877110014935,4.10229256791752,5.57952020531733
T6755,3.41858389203532,4.10205098716276,5.57910893651812
T6756,3.41839665029229,4.10180936500803,5.57869760943402
T6757,3.41820937503344,4.10156770160047,5.57828622432117
T6758,3.41802206637205,4.1013259970873,5.5778747814359
T6759,3.41783472442127,4.10108425161556,5.5774632810342
T6760,3.41764734929423,4.10084246533227,5.57705172337195
T6761,3.41745994110404,4.10060063838442,5.576640108705
T6762,3.41727249996388,4.1003587709191,5.57622843728931
T6763,3.41708502598681,4.1001168630832,5.57581670938049
T6764,3.41689751928583,4.0998749150236,5.57540492523405
T6765,3.41670997997413,4.09963292688733,5.57499308510582
T6766,3.41652240816463,4.09939089882114,5.57458118925106
T6767,3.41633480397047,4.09914883097201,5.57416923792539
T6768,3.41614716750454,4.09890672348664,5.57375723138397
T6769,3.41595949887991,4.09866457651191,5.57334516988217
T6770,3.41577179820942,4.09842239019444,5.57293305367495
T6771,3.41558406560604,4.09818016468097,5.57252088301741
T6772,3.41539630118275,4.0979379001183,5.57210865816474
T6773,3.4152085050524,4.097695596653,5.5716963793717
T6774,3.4150206773279,4.09745325443177,5.57128404689325
T6775,3.41483281812199,4.09721087360103,5.57087166098384
T6776,3.4146449275477,4.09696845430762,5.57045922189858
T6777,3.41445700571763,4.09672599669779,5.57004672989161
T6778,3.41426905274468,4.09648350091817,5.56963418521763
T6779,3.41408106874165,4.09624096711529,5.56922158813116
T6780,3.4138930538212,4.09599839543544,5.56880893888628
T6781,3.41370500809617,4.09575578602521,5.56839623773755
T6782,3.41351693167919,4.09551313903084,5.56798348493891
T6783,3.41332882468296,4.09527045459869,5.5675706807445
T6784,3.4131406872201,4.09502773287504,5.56715782540823
T6785,3.41295251940333,4.09478497400624,5.56674491918414
T6786,3.41276432134527,4.09454217813853,5.56633196232608
T6787,3.41257609315849,4.09429934541809,5.56591895508774
T6788,3.41238783495557,4.09405647599111,5.56550589772276
T6789,3.41219954684907,4.09381357000371,5.56509279048471
T6790,3.41201122895157,4.0935706276021,5.56467963362722
T6791,3.41182288137545,4.09332764893217,5.56426642740336
T6792,3.41163450423335,4.09308463414015,5.5638531720668
T6793,3.41144609763765,4.09284158337197,5.5634398678706
T6794,3.41125766170085,4.09259849677364,5.56302651506797
T6795,3.41106919653536,4.09235537449111,5.56261311391196
T6796,3.4108807022536,4.09211221667031,5.56219966465557
T6797,3.41069217896788,4.09186902345704,5.56178616755158
T6798,3.41050362679058,4.09162579499716,5.5613726228528
T6799,3.41031504583415,4.09138253143666,5.56095903081223
T6800,3.41012643621082,4.09113923292118,5.56054539168227
T6801,3.40993779803279,4.09089589959637,5.56013170571531
T6802,3.40974913141244,4.09065253160807,5.55971797316402
T6803,3.40956043646203,4.09040912910199,5.55930419428083
T6804,3.40937171329368,4.09016569222363,5.55889036931776
T6805,3.40918296201973,4.08992222111881,5.55847649852737
T6806,3.40899418275221,4.08967871593288,5.55806258216138
T6807,3.40880537560342,4.0894351768116,5.55764862047218
T6808,3.40861654068531,4.08919160390022,5.55723461371127
T6809,3.40842767811016,4.08894799734445,5.55682056213091
T6810,3.40823878798997,4.08870435728961,5.55640646598263
T6811,3.40804987043678,4.08846068388108,5.55599232551809
T6812,3.40786092556268,4.0882169772643,5.55557814098896
